dataset,n_keys,layer1,layer2,n_models,bounds,search,size_in_bytes,rep,n_samples,budget_in_bytes,is_guideline,lookup_time,lookup_accu
books_200M_uint64,200000000,radix,linear_regression,681,labs,binary,16368,1,20000000,16384,0,8103259529,2000207222435828
books_200M_uint64,200000000,radix,linear_regression,681,labs,binary,16368,2,20000000,16384,0,8103391190,2000207222435828
books_200M_uint64,200000000,radix,linear_regression,511,lind,model_biased_binary,16376,0,20000000,16384,0,9007145573,2000207222435828
books_200M_uint64,200000000,radix,linear_regression,511,lind,model_biased_binary,16376,1,20000000,16384,0,8999269634,2000207222435828
books_200M_uint64,200000000,radix,linear_regression,511,lind,model_biased_binary,16376,2,20000000,16384,0,8998913907,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,681,labs,binary,16376,0,20000000,16384,1,7722958342,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,681,labs,binary,16376,1,20000000,16384,1,7716196312,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,681,labs,binary,16376,2,20000000,16384,1,7717525860,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,2046,none,model_biased_exponential,32768,0,20000000,32768,0,7289411589,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,2046,none,model_biased_exponential,32768,1,20000000,32768,0,7289476021,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,2046,none,model_biased_exponential,32768,2,20000000,32768,0,7288292294,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,1364,labs,binary,32768,0,20000000,32768,0,7224949166,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,1364,labs,binary,32768,1,20000000,32768,0,7215517554,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,1364,labs,binary,32768,2,20000000,32768,0,7225153174,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,1023,lind,model_biased_binary,32768,0,20000000,32768,0,7088029134,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,1023,lind,model_biased_binary,32768,1,20000000,32768,0,7078368968,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,1023,lind,model_biased_binary,32768,2,20000000,32768,0,7080777334,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,2045,none,model_biased_exponential,32768,0,20000000,32768,0,7556477483,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,2045,none,model_biased_exponential,32768,1,20000000,32768,0,7564326682,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,2045,none,model_biased_exponential,32768,2,20000000,32768,0,7555429997,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,1363,labs,binary,32760,0,20000000,32768,0,7467641453,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,1363,labs,binary,32760,1,20000000,32768,0,7475467544,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,1363,labs,binary,32760,2,20000000,32768,0,7467633146,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,1022,lind,model_biased_binary,32752,0,20000000,32768,0,7348317792,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,1022,lind,model_biased_binary,32752,1,20000000,32768,0,7348371733,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,1022,lind,model_biased_binary,32752,2,20000000,32768,0,7348335719,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,2046,none,model_biased_exponential,32768,0,20000000,32768,0,8760996614,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,2046,none,model_biased_exponential,32768,1,20000000,32768,0,8760374780,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,2046,none,model_biased_exponential,32768,2,20000000,32768,0,8751055227,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,1364,labs,binary,32768,0,20000000,32768,0,8079238582,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,1364,labs,binary,32768,1,20000000,32768,0,8079558741,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,1364,labs,binary,32768,2,20000000,32768,0,8079244902,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,1023,lind,model_biased_binary,32768,0,20000000,32768,0,8084593647,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,1023,lind,model_biased_binary,32768,1,20000000,32768,0,8085712804,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,1023,lind,model_biased_binary,32768,2,20000000,32768,0,8085301467,2000207222435828
books_200M_uint64,200000000,radix,linear_regression,2046,none,model_biased_exponential,32760,0,20000000,32768,0,8304737539,2000207222435828
books_200M_uint64,200000000,radix,linear_regression,2046,none,model_biased_exponential,32760,1,20000000,32768,0,8313529485,2000207222435828
books_200M_uint64,200000000,radix,linear_regression,2046,none,model_biased_exponential,32760,2,20000000,32768,0,8303754523,2000207222435828
books_200M_uint64,200000000,radix,linear_regression,1364,labs,binary,32760,0,20000000,32768,0,7402635375,2000207222435828
books_200M_uint64,200000000,radix,linear_regression,1364,labs,binary,32760,1,20000000,32768,0,7401305667,2000207222435828
books_200M_uint64,200000000,radix,linear_regression,1364,labs,binary,32760,2,20000000,32768,0,7401803912,2000207222435828
books_200M_uint64,200000000,radix,linear_regression,1023,lind,model_biased_binary,32760,0,20000000,32768,0,7932238436,2000207222435828
books_200M_uint64,200000000,radix,linear_regression,1023,lind,model_biased_binary,32760,1,20000000,32768,0,7922169281,2000207222435828
books_200M_uint64,200000000,radix,linear_regression,1023,lind,model_biased_binary,32760,2,20000000,32768,0,7931995909,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,1364,labs,binary,32768,0,20000000,32768,1,7198419416,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,1364,labs,binary,32768,1,20000000,32768,1,7202935943,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,1364,labs,binary,32768,2,20000000,32768,1,7202844369,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,4094,none,model_biased_exponential,65536,0,20000000,65536,0,6752850617,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,4094,none,model_biased_exponential,65536,1,20000000,65536,0,6742725544,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,4094,none,model_biased_exponential,65536,2,20000000,65536,0,6742556302,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,2729,labs,binary,65528,0,20000000,65536,0,6806932777,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,2729,labs,binary,65528,1,20000000,65536,0,6816352269,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,2729,labs,binary,65528,2,20000000,65536,0,6815671820,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,2047,lind,model_biased_binary,65536,0,20000000,65536,0,6647246934,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,2047,lind,model_biased_binary,65536,1,20000000,65536,0,6645999647,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,2047,lind,model_biased_binary,65536,2,20000000,65536,0,6656704706,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,4093,none,model_biased_exponential,65536,0,20000000,65536,0,6981835556,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,4093,none,model_biased_exponential,65536,1,20000000,65536,0,6981299473,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,4093,none,model_biased_exponential,65536,2,20000000,65536,0,6981230418,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,2728,labs,binary,65520,0,20000000,65536,0,6993414571,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,2728,labs,binary,65520,1,20000000,65536,0,6993335161,2000207222435828
