dataset,n_keys,index,config,size_in_bytes,rep,n_samples,build_time,eval_time,lookup_time,eval_accu,lookup_accu
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=1024,max_error=512",667103312,1,20000000,8068716663,698626380,4975314320,4000422696857727,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=1024,max_error=512",667103312,2,20000000,8075661190,686938047,4964643090,4000422696857727,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=1024,max_error=64",1690685520,0,20000000,11910596772,802429861,2884069584,4000415696246102,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=1024,max_error=64",1690685520,1,20000000,11901263314,809451341,2897685758,4000415696246102,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=1024,max_error=64",1690685520,2,20000000,11912168567,792256730,2902689996,4000415696246102,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=128,max_error=128",286866512,0,20000000,7617019133,906507652,3982024241,4000416742895338,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=128,max_error=128",286866512,1,20000000,7620050517,906117521,3974142539,4000416742895338,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=128,max_error=128",286866512,2,20000000,7632190633,899508935,3986381616,4000416742895338,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=128,max_error=16",620216400,0,20000000,9047121820,982207499,2758131891,4000414695027142,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=128,max_error=16",620216400,1,20000000,8375595639,981974877,2759126425,4000414695027142,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=128,max_error=16",620216400,2,20000000,8356926526,978546152,2748954880,4000414695027142,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=128,max_error=256",172465744,0,20000000,6913043753,854976528,4625919957,4000418539686592,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=128,max_error=256",172465744,1,20000000,6904696897,854996440,4628152511,4000418539686592,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=128,max_error=256",172465744,2,20000000,6906869968,863038951,4628199994,4000418539686592,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=128,max_error=32",420800592,0,20000000,7598096707,915296610,3219268135,4000415001566047,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=128,max_error=32",420800592,1,20000000,8138988955,901474903,3223218341,4000415001566047,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=128,max_error=32",420800592,2,20000000,8136078570,902832499,3219900758,4000415001566047,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=128,max_error=512",4202576,0,20000000,5547852681,229988798,6137215396,4000417984058068,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=128,max_error=512",4202576,1,20000000,5549759779,228770017,6136135684,4000417984058068,2000207222435828
