dataset,layer1,layer2,n_models,mean_ae,median_ae,stdev_ae,min_ae,max_ae
fb_200M_uint64,linear_regression,linear_spline,128,205743,220260,85099.9,0,374972
fb_200M_uint64,linear_regression,linear_spline,256,205743,220260,85099.9,0,374972
fb_200M_uint64,linear_regression,linear_spline,512,205743,220260,85099.9,0,374972
fb_200M_uint64,linear_regression,linear_spline,1024,205743,220260,85099.9,0,374972
fb_200M_uint64,linear_regression,linear_spline,2048,205743,220260,85099.9,0,374972
fb_200M_uint64,linear_regression,linear_spline,4096,205743,220260,85099.9,0,374972
fb_200M_uint64,linear_regression,linear_spline,8192,205743,220260,85099.9,0,374972
fb_200M_uint64,linear_regression,linear_spline,16384,205743,220260,85099.9,0,374972
fb_200M_uint64,linear_regression,linear_spline,32768,205743,220260,85099.9,0,374972
fb_200M_uint64,linear_regression,linear_spline,65536,205743,220260,85099.9,0,374972
fb_200M_uint64,linear_regression,linear_spline,131072,205743,220260,85099.9,0,374972
fb_200M_uint64,linear_regression,linear_spline,262144,205743,220260,85099.9,0,374972
fb_200M_uint64,linear_regression,linear_spline,524288,205743,220260,85099.9,0,374972
fb_200M_uint64,linear_regression,linear_spline,1048576,205743,220260,85099.9,0,374972
fb_200M_uint64,linear_regression,linear_spline,2097152,205743,220260,85099.9,0,374972
fb_200M_uint64,linear_regression,linear_spline,4194304,205743,220260,85099.9,0,374972
fb_200M_uint64,linear_regression,linear_spline,8388608,205743,220260,85099.9,0,374972
fb_200M_uint64,linear_regression,linear_spline,16777216,205743,220260,85099.9,0,374972
fb_200M_uint64,linear_regression,linear_spline,33554432,205743,220260,85099.9,0,374972
fb_200M_uint64,linear_regression,linear_regression,64,116998,103844,78143.6,0,324884
fb_200M_uint64,linear_regression,linear_regression,128,116998,103844,78143.6,0,324884
fb_200M_uint64,linear_regression,linear_regression,256,116998,103844,78143.6,0,324884
fb_200M_uint64,linear_regression,linear_regression,512,116998,103844,78143.6,0,324884
fb_200M_uint64,linear_regression,linear_regression,1024,116998,103844,78143.6,0,324884
fb_200M_uint64,linear_regression,linear_regression,2048,116998,103844,78143.6,0,324884
fb_200M_uint64,linear_regression,linear_regression,4096,116998,103844,78143.6,0,324884
fb_200M_uint64,linear_regression,linear_regression,8192,116998,103844,78143.6,0,324884
fb_200M_uint64,linear_regression,linear_regression,16384,116998,103844,78143.6,0,324884
fb_200M_uint64,linear_regression,linear_regression,32768,116998,103844,78143.6,0,324884
fb_200M_uint64,linear_regression,linear_regression,65536,116998,103844,78143.6,0,324884
fb_200M_uint64,linear_regression,linear_regression,131072,116998,103844,78143.6,0,324884
fb_200M_uint64,linear_regression,linear_regression,262144,116998,103844,78143.6,0,324884
fb_200M_uint64,linear_regression,linear_regression,524288,116998,103844,78143.6,0,324884
fb_200M_uint64,linear_regression,linear_regression,1048576,116998,103844,78143.6,0,324884
fb_200M_uint64,linear_regression,linear_regression,2097152,116998,103844,78143.6,0,324884
fb_200M_uint64,linear_regression,linear_regression,4194304,116998,103844,78143.6,0,324884
fb_200M_uint64,linear_regression,linear_regression,8388608,116998,103844,78143.6,0,324884
fb_200M_uint64,linear_regression,linear_regression,16777216,116998,103844,78143.6,0,324884
fb_200M_uint64,linear_regression,linear_regression,33554432,116998,103844,78143.6,0,324884
fb_200M_uint64,radix,linear_spline,64,9.99931e+07,99993103,5.77311e+07,0,199986246
fb_200M_uint64,radix,linear_spline,128,9.99931e+07,99993103,5.77311e+07,0,199986246
fb_200M_uint64,radix,linear_spline,256,9.99931e+07,99993103,5.77311e+07,0,199986246
fb_200M_uint64,radix,linear_spline,512,9.99931e+07,99993103,5.77311e+07,0,199986246
fb_200M_uint64,radix,linear_spline,1024,9.99931e+07,99993103,5.77311e+07,0,199986246
fb_200M_uint64,radix,linear_spline,2048,9.99931e+07,99993103,5.77311e+07,0,199986246
fb_200M_uint64,radix,linear_spline,4096,9.99931e+07,99993103,5.77311e+07,0,199986246
fb_200M_uint64,radix,linear_spline,8192,9.99931e+07,99993103,5.77311e+07,0,199986246
fb_200M_uint64,radix,linear_spline,16384,9.99926e+07,99992642,5.77308e+07,0,199985330
