dataset,model,n_segments,mean,stdev,median,min,max,n_empty
wiki_ts_200M_uint64,linear_spline,4194304,47.6837,59.7707,15,0,21027,848852
wiki_ts_200M_uint64,linear_spline,8388608,23.8419,30.7782,7,0,21026,2153552
wiki_ts_200M_uint64,linear_spline,16777216,11.9209,16.2435,4,0,21026,5345988
wiki_ts_200M_uint64,linear_spline,33554432,5.96046,8.91548,2,0,21026,12907826
wiki_ts_200M_uint64,cubic_spline,64,3.125e+06,2.9795e+06,1988781,16128,8585513,0
wiki_ts_200M_uint64,cubic_spline,128,1.5625e+06,1.49085e+06,985612,7456,4413449,0
wiki_ts_200M_uint64,cubic_spline,256,781250,746099,448927,2854,2256520,0
wiki_ts_200M_uint64,cubic_spline,512,390625,373529,234794,1059,1137682,0
wiki_ts_200M_uint64,cubic_spline,1024,195312,187138,114944,363,609824,0
wiki_ts_200M_uint64,cubic_spline,2048,97656.2,93757.9,56995,176,309248,0
wiki_ts_200M_uint64,cubic_spline,4096,48828.1,47776.3,27546,0,186461,6
wiki_ts_200M_uint64,cubic_spline,8192,24414.1,24566.4,13656,0,102637,19
wiki_ts_200M_uint64,cubic_spline,16384,12207,12424.3,6781,0,62902,67
wiki_ts_200M_uint64,cubic_spline,32768,6103.52,6240.7,3385,0,37331,184
wiki_ts_200M_uint64,cubic_spline,65536,3051.76,3129.12,1697,0,37252,478
wiki_ts_200M_uint64,cubic_spline,131072,1525.88,1569.08,846,0,37193,1339
wiki_ts_200M_uint64,cubic_spline,262144,762.939,787.343,423,0,37193,3780
wiki_ts_200M_uint64,cubic_spline,524288,381.47,396.084,211,0,37191,10866
wiki_ts_200M_uint64,cubic_spline,1048576,190.735,198.467,106,0,21027,31934
wiki_ts_200M_uint64,cubic_spline,2097152,95.3674,100.372,53,0,21027,97570
wiki_ts_200M_uint64,cubic_spline,4194304,47.6837,51.2666,26,0,21027,314968
wiki_ts_200M_uint64,cubic_spline,8388608,23.8419,26.6699,13,0,21027,1023144
wiki_ts_200M_uint64,cubic_spline,16777216,11.9209,14.3184,7,0,21027,3126228
wiki_ts_200M_uint64,cubic_spline,33554432,5.96046,8.06707,3,0,21026,8901588
wiki_ts_200M_uint64,linear_regression,64,3.125e+06,1.85979e+06,3727114,0,11153298,6
wiki_ts_200M_uint64,linear_regression,128,1.5625e+06,1.13964e+06,1837837,0,10815410,13
wiki_ts_200M_uint64,linear_regression,256,781250,737516,889659,0,10677931,27
wiki_ts_200M_uint64,linear_regression,512,390625,495834,447609,0,10634075,54
wiki_ts_200M_uint64,linear_regression,1024,195312,340429,219760,0,10587641,108
wiki_ts_200M_uint64,linear_regression,2048,97656.2,237085,107827,0,10566137,216
wiki_ts_200M_uint64,linear_regression,4096,48828.1,166434,49733,0,10552848,437
wiki_ts_200M_uint64,linear_regression,8192,24414.1,117141,23885,0,10548548,879
wiki_ts_200M_uint64,linear_regression,16384,12207,82613,11765,0,10546690,1766
wiki_ts_200M_uint64,linear_regression,32768,6103.52,58334.3,5858,0,10545542,3543
wiki_ts_200M_uint64,linear_regression,65536,3051.76,41218.9,2924,0,10544925,7114
wiki_ts_200M_uint64,linear_regression,131072,1525.88,29135.6,1462,0,10544623,14264
wiki_ts_200M_uint64,linear_regression,262144,762.939,20598.2,730,0,10544473,28573
wiki_ts_200M_uint64,linear_regression,524288,381.47,14563.8,365,0,10544403,57259
wiki_ts_200M_uint64,linear_regression,1048576,190.735,10297.7,182,0,10544356,114761
wiki_ts_200M_uint64,linear_regression,2097152,95.3674,7281.39,91,0,10544340,230010
wiki_ts_200M_uint64,linear_regression,4194304,47.6837,5148.66,45,0,10544336,461493
wiki_ts_200M_uint64,linear_regression,8388608,23.8419,3640.63,22,0,10544328,931069
wiki_ts_200M_uint64,linear_regression,16777216,11.9209,2574.31,11,0,10544324,1957415
wiki_ts_200M_uint64,linear_regression,33554432,5.96046,1820.31,5,0,10544323,4785365
wiki_ts_200M_uint64,radix,64,3.125e+06,1.31158e+07,0,0,78379407,56
wiki_ts_200M_uint64,radix,128,1.5625e+06,6.7098e+06,0,0,39214672,113
wiki_ts_200M_uint64,radix,256,781250,3.47084e+06,0,0,20774659,227
wiki_ts_200M_uint64,radix,512,390625,1.73772e+06,0,0,10841088,455
wiki_ts_200M_uint64,radix,1024,195312,869272,0,0,5500748,911
wiki_ts_200M_uint64,radix,2048,97656.2,434777,0,0,2838379,1822
wiki_ts_200M_uint64,radix,4096,48828.1,217506,0,0,1421112,3644
wiki_ts_200M_uint64,radix,8192,24414.1,108858,0,0,743049,7289
wiki_ts_200M_uint64,radix,16384,12207,54557.1,0,0,388481,14578
wiki_ts_200M_uint64,radix,32768,6103.52,27330.7,0,0,205882,29160
wiki_ts_200M_uint64,radix,65536,3051.76,13895.4,0,0,135106,58342
wiki_ts_200M_uint64,radix,131072,1525.88,7012.97,0,0,77093,116801
wiki_ts_200M_uint64,radix,262144,762.939,3519.05,0,0,41399,233970
wiki_ts_200M_uint64,radix,524288,381.47,1762.53,0,0,37243,468836
wiki_ts_200M_uint64,radix,1048576,190.735,882.527,0,0,37213,939677
wiki_ts_200M_uint64,radix,2097152,95.3674,442.03,0,0,37191,1883572
wiki_ts_200M_uint64,radix,4194304,47.6837,221.233,0,0,21027,3776915
wiki_ts_200M_uint64,radix,8388608,23.8419,110.913,0,0,21027,7577147
wiki_ts_200M_uint64,radix,16777216,11.9209,55.7189,0,0,21027,15212043
wiki_ts_200M_uint64,radix,33554432,5.96046,28.1066,0,0,21027,30574299
