dataset,n_keys,layer1,layer2,n_models,bounds,search,size_in_bytes,rep,n_samples,lookup_time,lookup_accu
books_200M_uint64,200000000,cubic_spline,linear_spline,4096,gind,model_biased_binary,65600,0,20000000,8580068421,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,4096,gind,model_biased_binary,65600,1,20000000,8590515920,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,4096,gind,model_biased_binary,65600,2,20000000,8580941489,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,4096,gind,binary,65600,0,20000000,9249151971,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,4096,gind,binary,65600,1,20000000,9238513770,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,4096,gind,binary,65600,2,20000000,9249328358,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,4096,labs,binary,98352,0,20000000,6938094107,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,4096,labs,binary,98352,1,20000000,6938077772,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,4096,labs,binary,98352,2,20000000,6938568299,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,4096,lind,model_biased_binary,131120,0,20000000,6720643942,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,4096,lind,model_biased_binary,131120,1,20000000,6709477745,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,4096,lind,model_biased_binary,131120,2,20000000,6719823037,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,4096,lind,binary,131120,0,20000000,6664210717,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,4096,lind,binary,131120,1,20000000,6653793976,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,4096,lind,binary,131120,2,20000000,6663820837,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,8192,none,model_biased_linear,131120,0,20000000,12403357989,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,8192,none,model_biased_linear,131120,1,20000000,12404042594,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,8192,none,model_biased_linear,131120,2,20000000,12403216085,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,8192,none,model_biased_exponential,131120,0,20000000,7120454287,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,8192,none,model_biased_exponential,131120,1,20000000,7110563660,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,8192,none,model_biased_exponential,131120,2,20000000,7119278551,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,8192,gabs,binary,131128,0,20000000,8748355729,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,8192,gabs,binary,131128,1,20000000,8748089584,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,8192,gabs,binary,131128,2,20000000,8737935441,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,8192,gind,model_biased_binary,131136,0,20000000,8033702718,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,8192,gind,model_biased_binary,131136,1,20000000,8033629017,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,8192,gind,model_biased_binary,131136,2,20000000,8043392509,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,8192,gind,binary,131136,0,20000000,8799755890,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,8192,gind,binary,131136,1,20000000,8799021814,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,8192,gind,binary,131136,2,20000000,8789103776,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,8192,labs,binary,196656,0,20000000,6564966644,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,8192,labs,binary,196656,1,20000000,6576420391,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,8192,labs,binary,196656,2,20000000,6565865942,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,8192,lind,model_biased_binary,262192,0,20000000,6326924327,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,8192,lind,model_biased_binary,262192,1,20000000,6326657443,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,8192,lind,model_biased_binary,262192,2,20000000,6326719662,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,8192,lind,binary,262192,0,20000000,6260880960,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,8192,lind,binary,262192,1,20000000,6261232292,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,8192,lind,binary,262192,2,20000000,6250643867,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,16384,none,model_biased_linear,262192,0,20000000,10724937804,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,16384,none,model_biased_linear,262192,1,20000000,10724909887,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,16384,none,model_biased_linear,262192,2,20000000,10715019258,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,16384,none,model_biased_exponential,262192,0,20000000,6618913994,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,16384,none,model_biased_exponential,262192,1,20000000,6608701289,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,16384,none,model_biased_exponential,262192,2,20000000,6607324698,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,16384,gabs,binary,262200,0,20000000,8306483992,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,16384,gabs,binary,262200,1,20000000,8305305534,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,16384,gabs,binary,262200,2,20000000,8305559035,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,16384,gind,model_biased_binary,262208,0,20000000,7723624011,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,16384,gind,model_biased_binary,262208,1,20000000,7723819463,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,16384,gind,model_biased_binary,262208,2,20000000,7713929722,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,16384,gind,binary,262208,0,20000000,8429337274,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,16384,gind,binary,262208,1,20000000,8429830075,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,16384,gind,binary,262208,2,20000000,8428616782,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,16384,labs,binary,393264,0,20000000,6184274768,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,16384,labs,binary,393264,1,20000000,6174301439,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,16384,labs,binary,393264,2,20000000,6183516758,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,16384,lind,model_biased_binary,524336,0,20000000,5976892724,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,16384,lind,model_biased_binary,524336,1,20000000,5976555090,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,16384,lind,model_biased_binary,524336,2,20000000,5976626788,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,16384,lind,binary,524336,0,20000000,5889402905,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,16384,lind,binary,524336,1,20000000,5889113712,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,16384,lind,binary,524336,2,20000000,5889127512,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,32768,none,model_biased_linear,524336,0,20000000,8995914577,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,32768,none,model_biased_linear,524336,1,20000000,8994609952,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,32768,none,model_biased_linear,524336,2,20000000,8995495546,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,32768,none,model_biased_exponential,524336,0,20000000,6138848994,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,32768,none,model_biased_exponential,524336,1,20000000,6128786606,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,32768,none,model_biased_exponential,524336,2,20000000,6138830981,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,32768,gabs,binary,524344,0,20000000,7967748968,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,32768,gabs,binary,524344,1,20000000,7966430003,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,32768,gabs,binary,524344,2,20000000,7977711160,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,32768,gind,model_biased_binary,524352,0,20000000,7259139569,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,32768,gind,model_biased_binary,524352,1,20000000,7266469179,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,32768,gind,model_biased_binary,524352,2,20000000,7245402545,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,32768,gind,binary,524352,0,20000000,8228884666,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,32768,gind,binary,524352,1,20000000,8219860492,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,32768,gind,binary,524352,2,20000000,8229376504,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,32768,labs,binary,786480,0,20000000,5827825920,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,32768,labs,binary,786480,1,20000000,5827943745,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,32768,labs,binary,786480,2,20000000,5827124344,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,32768,lind,model_biased_binary,1048624,0,20000000,5609835430,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,32768,lind,model_biased_binary,1048624,1,20000000,5620437150,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,32768,lind,model_biased_binary,1048624,2,20000000,5609295492,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,32768,lind,binary,1048624,0,20000000,5538000818,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,32768,lind,binary,1048624,1,20000000,5547942913,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,32768,lind,binary,1048624,2,20000000,5537517597,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,65536,none,model_biased_linear,1048624,0,20000000,7798627155,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,65536,none,model_biased_linear,1048624,1,20000000,7798285163,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,65536,none,model_biased_linear,1048624,2,20000000,7797551053,2000207222435828
